intake_id,parcel_id,sender_name,recipient_name,weight_kg,service_type,distance_km,shipping_fee,old_status,updated_status
INT-0012,TH00012,มุนินทร์ อัศวรุ่งเรืองกิจ,พิไล ตากลี,12.17,ธรรมดา,126.3,337.15,รับแล้ว,กำลังส่ง
INT-0013,TH00013,มุนตา จงสวัสดิ์,พิไล บุญพูลทรัพย์,6.24,ด่วนพิเศษ (Express),275.2,499.2,รับแล้ว,ส่งสำเร็จ
INT-0014,TH00014,มุนินทร์ ตากลี,มุนตา จงสวัสดิ์,8.32,ด่วนพิเศษ (Express),226.6,471.1,รับแล้ว,กำลังส่ง
INT-0015,TH00015,ทองดี วงศ์เสวต,พิไล จงสวัสดิ์,14.96,ด่วนพิเศษ (Express),50.1,246.75,รับแล้ว,ส่งสำเร็จ
INT-0016,TH00016,เรยา บุญพูลทรัพย์,เรยา บุญพูลทรัพย์,11.99,ธรรมดา,132.4,350.5,รับแล้ว,รับแล้ว
INT-0017,TH00017,ทองดี บุญพูลทรัพย์,มุนตา อัศวรุ่งเรืองกิจ,4.15,ธรรมดา,170.4,338.1,รับแล้ว,กำลังส่ง
INT-0018,TH00018,มุนตา บุญพูลทรัพย์,พิไล บุญพูลทรัพย์,2.12,ด่วนพิเศษ (Express),136.1,245.35,รับแล้ว,กำลังส่ง
INT-0019,TH00019,มุนินทร์ บุญพูลทรัพย์,พิไล จงสวัสดิ์,13.73,ด่วนพิเศษ (Express),262.5,577.05,รับแล้ว,รับแล้ว
INT-0020,TH00020,ทองดี บุญพูลทรัพย์,มุนตา ตากลี,5.92,แช่เย็น (Cold Chain),56.8,193.4,รับแล้ว,ส่งสำเร็จ
INT-0021,TH00021,ทองดี จงสวัสดิ์,มุนินทร์ วงศ์เสวต,0.78,ด่วนพิเศษ (Express),279.4,453.9,รับแล้ว,รับแล้ว
INT-0022,TH00022,มุนินทร์ จงสวัสดิ์,พิไล ตากลี,1.74,ธรรมดา,150.9,287.75,รับแล้ว,ส่งสำเร็จ
INT-0023,TH00023,มุนินทร์ ตากลี,พิไล บุญพูลทรัพย์,14.23,แช่เย็น (Cold Chain),57.9,276.15,รับแล้ว,รับแล้ว
INT-0024,TH00024,เรยา อัศวรุ่งเรืองกิจ,เรยา บุญพูลทรัพย์,11.45,แช่เย็น (Cold Chain),210.1,458.65,รับแล้ว,รับแล้ว
INT-0025,TH00025,ทองดี บุญพูลทรัพย์,มุนินทร์ จงสวัสดิ์,7.05,ธรรมดา,81.9,223.35,รับแล้ว,กำลังส่ง
INT-0026,TH00026,ทองดี จงสวัสดิ์,ทองดี วงศ์เสวต,9.03,แช่เย็น (Cold Chain),12.1,148.45,รับแล้ว,กำลังส่ง
INT-0027,TH00027,เรยา จงสวัสดิ์,มุนินทร์ จงสวัสดิ์,12.96,ธรรมดา,30.5,203.35,รับแล้ว,ส่งสำเร็จ
INT-0028,TH00028,พิไล ตากลี,เรยา จงสวัสดิ์,10.99,แช่เย็น (Cold Chain),265.9,543.75,รับแล้ว,รับแล้ว
INT-0029,TH00029,เรยา ตากลี,ทองดี วงศ์เสวต,1.87,ด่วนพิเศษ (Express),201.1,353.35,รับแล้ว,ส่งสำเร็จ
INT-0030,TH00030,พิไล จงสวัสดิ์,มุนินทร์ ตากลี,1.38,ธรรมดา,221.2,372.6,รับแล้ว,รับแล้ว
INT-0031,TH00031,ทองดี ตากลี,มุนินทร์ วงศ์เสวต,2.53,ด่วนพิเศษ (Express),63.2,147.1,รับแล้ว,รับแล้ว
INT-0032,TH00032,พิไล จงสวัสดิ์,เรยา ตากลี,1.23,ธรรมดา,299.8,484.0,รับแล้ว,กำลังส่ง
INT-0033,TH00033,เรยา วงศ์เสวต,เรยา อัศวรุ่งเรืองกิจ,7.48,ธรรมดา,260.7,490.85,รับแล้ว,รับแล้ว
INT-0034,TH00034,มุนินทร์ ตากลี,พิไล จงสวัสดิ์,13.93,ด่วนพิเศษ (Express),237.7,528.85,รับแล้ว,กำลังส่ง
INT-0035,TH00035,มุนินทร์ วงศ์เสวต,มุนตา วงศ์เสวต,4.8,แช่เย็น (Cold Chain),290.9,527.35,รับแล้ว,กำลังส่ง
INT-0036,TH00036,ทองดี บุญพูลทรัพย์,ทองดี จงสวัสดิ์,1.23,แช่เย็น (Cold Chain),148.3,259.75,รับแล้ว,รับแล้ว
INT-0037,TH00037,ทองดี บุญพูลทรัพย์,พิไล บุญพูลทรัพย์,1.49,ธรรมดา,29.7,91.45,รับแล้ว,รับแล้ว
INT-0038,TH00038,มุนินทร์ บุญพูลทรัพย์,มุนินทร์ อัศวรุ่งเรืองกิจ,9.12,ด่วนพิเศษ (Express),189.6,416.6,รับแล้ว,ส่งสำเร็จ
INT-0039,TH00039,พิไล อัศวรุ่งเรืองกิจ,เรยา จงสวัสดิ์,14.05,แช่เย็น (Cold Chain),69.2,274.3,รับแล้ว,ส่งสำเร็จ
INT-0040,TH00040,ทองดี วงศ์เสวต,เรยา บุญพูลทรัพย์,10.24,ด่วนพิเศษ (Express),97.0,296.9,รับแล้ว,ส่งสำเร็จ
INT-0041,TH00041,พิไล บุญพูลทรัพย์,มุนตา จงสวัสดิ์,14.98,ธรรมดา,298.9,635.15,รับแล้ว,กำลังส่ง
INT-0042,TH00042,มุนตา จงสวัสดิ์,เรยา บุญพูลทรัพย์,14.03,ธรรมดา,265.5,569.55,รับแล้ว,กำลังส่ง
INT-0043,TH00043,ทองดี บุญพูลทรัพย์,มุนตา วงศ์เสวต,10.7,แช่เย็น (Cold Chain),187.4,424.1,รับแล้ว,กำลังส่ง
INT-0044,TH00044,ทองดี บุญพูลทรัพย์,พิไล อัศวรุ่งเรืองกิจ,14.11,ธรรมดา,48.9,262.45,รับแล้ว,กำลังส่ง
INT-0045,TH00045,มุนตา บุญพูลทรัพย์,เรยา อัศวรุ่งเรืองกิจ,4.59,ด่วนพิเศษ (Express),71.1,178.55,รับแล้ว,กำลังส่ง
INT-0046,TH00046,เรยา อัศวรุ่งเรืองกิจ,ทองดี วงศ์เสวต,13.63,ธรรมดา,255.4,559.4,รับแล้ว,กำลังส่ง
INT-0047,TH00047,เรยา บุญพูลทรัพย์,เรยา บุญพูลทรัพย์,5.34,ด่วนพิเศษ (Express),47.9,150.25,รับแล้ว,รับแล้ว
INT-0048,TH00048,พิไล บุญพูลทรัพย์,ทองดี อัศวรุ่งเรืองกิจ,0.64,แช่เย็น (Cold Chain),31.8,102.1,รับแล้ว,ส่งสำเร็จ
INT-0049,TH00049,มุนตา อัศวรุ่งเรืองกิจ,ทองดี อัศวรุ่งเรืองกิจ,8.95,ธรรมดา,52.9,189.85,รับแล้ว,ส่งสำเร็จ
INT-0050,TH00050,มุนินทร์ ตากลี,มุนินทร์ จงสวัสดิ์,3.55,ธรรมดา,82.4,190.1,รับแล้ว,ส่งสำเร็จ
INT-0051,TH00051,พิไล ตากลี,ทองดี จงสวัสดิ์,13.92,ธรรมดา,78.7,302.25,รับแล้ว,รับแล้ว
INT-0052,TH00052,พิไล อัศวรุ่งเรืองกิจ,พิไล วงศ์เสวต,11.18,ด่วนพิเศษ (Express),106.3,316.25,รับแล้ว,ส่งสำเร็จ
INT-0053,TH00053,พิไล ตากลี,มุนตา อัศวรุ่งเรืองกิจ,6.05,ด่วนพิเศษ (Express),21.2,119.3,รับแล้ว,กำลังส่ง
INT-0054,TH00054,พิไล ตากลี,มุนตา อัศวรุ่งเรืองกิจ,12.4,ธรรมดา,262.7,538.05,รับแล้ว,รับแล้ว
INT-0055,TH00055,มุนินทร์ ตากลี,มุนินทร์ อัศวรุ่งเรืองกิจ,13.03,ด่วนพิเศษ (Express),290.4,596.9,รับแล้ว,รับแล้ว
INT-0056,TH00056,มุนินทร์ อัศวรุ่งเรืองกิจ,ทองดี วงศ์เสวต,14.12,ด่วนพิเศษ (Express),43.4,231.3,รับแล้ว,ส่งสำเร็จ
INT-0057,TH00057,มุนินทร์ บุญพูลทรัพย์,ทองดี ตากลี,9.15,ด่วนพิเศษ (Express),110.2,289.8,รับแล้ว,กำลังส่ง
INT-0058,TH00058,เรยา วงศ์เสวต,มุนินทร์ บุญพูลทรัพย์,13.54,ธรรมดา,65.1,275.05,รับแล้ว,ส่งสำเร็จ
INT-0059,TH00059,พิไล อัศวรุ่งเรืองกิจ,เรยา วงศ์เสวต,10.46,แช่เย็น (Cold Chain),282.7,569.65,รับแล้ว,รับแล้ว
INT-0060,TH00060,ทองดี อัศวรุ่งเรืองกิจ,มุนินทร์ อัศวรุ่งเรืองกิจ,14.26,แช่เย็น (Cold Chain),277.0,588.1,รับแล้ว,ส่งสำเร็จ
INT-0061,TH00061,มุนินทร์ จงสวัสดิ์,พิไล ตากลี,10.17,แช่เย็น (Cold Chain),104.6,287.6,รับแล้ว,รับแล้ว
INT-0062,TH00062,พิไล บุญพูลทรัพย์,มุนินทร์ อัศวรุ่งเรืองกิจ,10.14,แช่เย็น (Cold Chain),120.0,329.4,รับแล้ว,รับแล้ว
INT-0063,TH00063,พิไล ตากลี,มุนินทร์ บุญพูลทรัพย์,6.39,ด่วนพิเศษ (Express),251.8,470.6,รับแล้ว,รับแล้ว
INT-0064,TH00064,พิไล บุญพูลทรัพย์,เรยา จงสวัสดิ์,9.99,ด่วนพิเศษ (Express),144.8,358.1,รับแล้ว,กำลังส่ง
INT-0065,TH00065,มุนินทร์ อัศวรุ่งเรืองกิจ,ทองดี จงสวัสดิ์,10.05,แช่เย็น (Cold Chain),92.3,278.95,รับแล้ว,กำลังส่ง
INT-0066,TH00066,ทองดี วงศ์เสวต,พิไล ตากลี,10.26,ธรรมดา,75.1,239.25,รับแล้ว,ส่งสำเร็จ
INT-0067,TH00067,มุนินทร์ จงสวัสดิ์,เรยา ตากลี,9.36,ด่วนพิเศษ (Express),232.9,475.95,รับแล้ว,ส่งสำเร็จ
INT-0068,TH00068,ทองดี ตากลี,พิไล จงสวัสดิ์,6.29,แช่เย็น (Cold Chain),52.8,162.1,รับแล้ว,ส่งสำเร็จ
INT-0069,TH00069,มุนินทร์ จงสวัสดิ์,ทองดี ตากลี,12.16,ด่วนพิเศษ (Express),211.8,460.3,รับแล้ว,กำลังส่ง
INT-0070,TH00070,มุนินทร์ อัศวรุ่งเรืองกิจ,เรยา บุญพูลทรัพย์,2.43,แช่เย็น (Cold Chain),144.7,278.35,รับแล้ว,ส่งสำเร็จ
INT-0071,TH00071,มุนินทร์ ตากลี,พิไล ตากลี,12.32,ด่วนพิเศษ (Express),268.7,572.25,รับแล้ว,กำลังส่ง
INT-0072,TH00072,มุนินทร์ ตากลี,พิไล อัศวรุ่งเรืองกิจ,7.03,แช่เย็น (Cold Chain),228.0,440.3,รับแล้ว,รับแล้ว
INT-0073,TH00073,มุนตา อัศวรุ่งเรืองกิจ,มุนินทร์ วงศ์เสวต,6.88,ธรรมดา,216.9,422.15,รับแล้ว,รับแล้ว
INT-0074,TH00074,พิไล วงศ์เสวต,เรยา ตากลี,2.51,แช่เย็น (Cold Chain),77.1,164.75,รับแล้ว,กำลังส่ง
INT-0075,TH00075,เรยา ตากลี,มุนินทร์ วงศ์เสวต,5.3,ธรรมดา,145.1,296.65,รับแล้ว,กำลังส่ง
INT-0076,TH00076,ทองดี อัศวรุ่งเรืองกิจ,มุนตา ตากลี,12.92,ด่วนพิเศษ (Express),232.0,512.2,รับแล้ว,รับแล้ว
INT-0077,TH00077,มุนินทร์ บุญพูลทรัพย์,พิไล ตากลี,12.87,ด่วนพิเศษ (Express),286.5,595.45,รับแล้ว,กำลังส่ง
INT-0078,TH00078,มุนตา ตากลี,พิไล ตากลี,3.68,ธรรมดา,136.4,273.4,รับแล้ว,รับแล้ว
INT-0079,TH00079,เรยา บุญพูลทรัพย์,มุนินทร์ วงศ์เสวต,13.83,แช่เย็น (Cold Chain),294.4,599.9,รับแล้ว,ส่งสำเร็จ
INT-0080,TH00080,ทองดี อัศวรุ่งเรืองกิจ,เรยา อัศวรุ่งเรืองกิจ,1.72,ด่วนพิเศษ (Express),134.3,243.65,รับแล้ว,รับแล้ว
INT-0081,TH00081,เรยา อัศวรุ่งเรืองกิจ,ทองดี ตากลี,3.57,ด่วนพิเศษ (Express),104.8,220.9,รับแล้ว,รับแล้ว
INT-0082,TH00082,ทองดี วงศ์เสวต,ทองดี จงสวัสดิ์,0.78,ด่วนพิเศษ (Express),166.4,284.4,รับแล้ว,ส่งสำเร็จ
INT-0083,TH00083,พิไล ตากลี,ทองดี บุญพูลทรัพย์,3.39,ธรรมดา,15.9,84.75,รับแล้ว,กำลังส่ง
INT-0084,TH00084,มุนตา จงสวัสดิ์,มุนินทร์ บุญพูลทรัพย์,14.24,ด่วนพิเศษ (Express),144.9,403.75,รับแล้ว,ส่งสำเร็จ
INT-0085,TH00085,มุนตา วงศ์เสวต,มุนินทร์ วงศ์เสวต,14.47,ธรรมดา,218.3,522.15,รับแล้ว,รับแล้ว
INT-0086,TH00086,พิไล วงศ์เสวต,มุนินทร์ จงสวัสดิ์,13.97,ด่วนพิเศษ (Express),177.0,437.2,รับแล้ว,รับแล้ว
INT-0087,TH00087,ทองดี บุญพูลทรัพย์,ทองดี อัศวรุ่งเรืองกิจ,1.98,แช่เย็น (Cold Chain),234.0,409.8,รับแล้ว,รับแล้ว
INT-0088,TH00088,มุนตา วงศ์เสวต,เรยา ตากลี,8.22,ธรรมดา,201.8,420.9,รับแล้ว,รับแล้ว
INT-0089,TH00089,เรยา จงสวัสดิ์,เรยา จงสวัสดิ์,2.03,แช่เย็น (Cold Chain),288.6,501.2,รับแล้ว,รับแล้ว
INT-0090,TH00090,มุนินทร์ ตากลี,เรยา ตากลี,11.14,ด่วนพิเศษ (Express),290.0,585.4,รับแล้ว,ส่งสำเร็จ
INT-0091,TH00091,พิไล วงศ์เสวต,มุนตา ตากลี,12.47,ด่วนพิเศษ (Express),181.8,444.4,รับแล้ว,รับแล้ว
INT-0092,TH00092,เรยา อัศวรุ่งเรืองกิจ,ทองดี ตากลี,4.04,แช่เย็น (Cold Chain),144.8,298.6,รับแล้ว,กำลังส่ง
INT-0093,TH00093,มุนตา อัศวรุ่งเรืองกิจ,มุนตา บุญพูลทรัพย์,12.84,ธรรมดา,62.7,253.45,รับแล้ว,ส่งสำเร็จ
INT-0094,TH00094,พิไล วงศ์เสวต,พิไล ตากลี,10.67,ธรรมดา,90.1,277.85,รับแล้ว,ส่งสำเร็จ
INT-0095,TH00095,เรยา ตากลี,ทองดี วงศ์เสวต,7.58,แช่เย็น (Cold Chain),229.9,455.65,รับแล้ว,ส่งสำเร็จ
INT-0096,TH00096,มุนินทร์ อัศวรุ่งเรืองกิจ,เรยา บุญพูลทรัพย์,4.77,ธรรมดา,127.3,267.65,รับแล้ว,รับแล้ว
INT-0097,TH00097,มุนตา อัศวรุ่งเรืองกิจ,เรยา อัศวรุ่งเรืองกิจ,8.2,แช่เย็น (Cold Chain),133.4,319.1,รับแล้ว,รับแล้ว
INT-0098,TH00098,มุนตา วงศ์เสวต,มุนินทร์ จงสวัสดิ์,4.95,แช่เย็น (Cold Chain),76.9,190.85,รับแล้ว,ส่งสำเร็จ
INT-0099,TH00099,มุนินทร์ บุญพูลทรัพย์,มุนินทร์ อัศวรุ่งเรืองกิจ,3.28,ด่วนพิเศษ (Express),224.2,412.1,รับแล้ว,รับแล้ว
INT-0100,TH00100,มุนตา จงสวัสดิ์,มุนตา วงศ์เสวต,14.72,ด่วนพิเศษ (Express),251.5,551.45,รับแล้ว,กำลังส่ง
INT-0101,TH00101,มุนินทร์ อัศวรุ่งเรืองกิจ,พิไล ตากลี,10.77,ธรรมดา,46.7,198.75,รับแล้ว,กำลังส่ง
INT-0102,TH00102,เรยา ตากลี,มุนตา จงสวัสดิ์,1.99,ด่วนพิเศษ (Express),13.6,75.3,รับแล้ว,รับแล้ว
INT-0103,TH00103,ทองดี ตากลี,เรยา วงศ์เสวต,14.5,ด่วนพิเศษ (Express),83.2,292.8,รับแล้ว,ส่งสำเร็จ
INT-0104,TH00104,มุนินทร์ อัศวรุ่งเรืองกิจ,ทองดี จงสวัสดิ์,8.87,ธรรมดา,209.1,426.35,รับแล้ว,รับแล้ว
INT-0105,TH00105,มุนินทร์ จงสวัสดิ์,มุนินทร์ ตากลี,2.22,แช่เย็น (Cold Chain),231.7,408.75,รับแล้ว,รับแล้ว
INT-0106,TH00106,มุนตา บุญพูลทรัพย์,มุนินทร์ วงศ์เสวต,7.03,แช่เย็น (Cold Chain),138.4,310.9,รับแล้ว,รับแล้ว
INT-0107,TH00107,พิไล อัศวรุ่งเรืองกิจ,ทองดี จงสวัสดิ์,9.34,ธรรมดา,224.6,470.3,รับแล้ว,ส่งสำเร็จ
INT-0108,TH00108,เรยา ตากลี,มุนินทร์ ตากลี,3.98,ธรรมดา,170.1,314.95,รับแล้ว,กำลังส่ง
INT-0109,TH00109,เรยา วงศ์เสวต,พิไล อัศวรุ่งเรืองกิจ,4.72,แช่เย็น (Cold Chain),77.1,191.85,รับแล้ว,รับแล้ว
INT-0110,TH00110,พิไล ตากลี,ทองดี บุญพูลทรัพย์,11.92,แช่เย็น (Cold Chain),191.3,451.15,รับแล้ว,ส่งสำเร็จ
INT-0111,TH00111,พิไล วงศ์เสวต,ทองดี จงสวัสดิ์,3.76,ด่วนพิเศษ (Express),53.2,163.4,รับแล้ว,ส่งสำเร็จ
INT-0112,TH00112,มุนตา ตากลี,ทองดี ตากลี,11.99,แช่เย็น (Cold Chain),182.6,442.8,รับแล้ว,กำลังส่ง
INT-0113,TH00113,มุนินทร์ ตากลี,เรยา วงศ์เสวต,10.49,ด่วนพิเศษ (Express),212.9,460.25,รับแล้ว,ส่งสำเร็จ
INT-0114,TH00114,มุนินทร์ อัศวรุ่งเรืองกิจ,ทองดี วงศ์เสวต,9.17,แช่เย็น (Cold Chain),267.9,523.55,รับแล้ว,ส่งสำเร็จ
INT-0115,TH00115,ทองดี อัศวรุ่งเรืองกิจ,มุนินทร์ วงศ์เสวต,3.82,แช่เย็น (Cold Chain),205.5,384.45,รับแล้ว,ส่งสำเร็จ
INT-0116,TH00116,เรยา อัศวรุ่งเรืองกิจ,พิไล บุญพูลทรัพย์,11.57,แช่เย็น (Cold Chain),60.8,246.9,รับแล้ว,กำลังส่ง
INT-0117,TH00117,มุนตา ตากลี,มุนตา อัศวรุ่งเรืองกิจ,6.82,ธรรมดา,246.1,472.35,รับแล้ว,รับแล้ว
INT-0118,TH00118,เรยา อัศวรุ่งเรืองกิจ,เรยา บุญพูลทรัพย์,10.22,ด่วนพิเศษ (Express),258.7,523.25,รับแล้ว,กำลังส่ง
INT-0119,TH00119,ทองดี ตากลี,มุนินทร์ วงศ์เสวต,1.03,ด่วนพิเศษ (Express),35.5,93.55,รับแล้ว,รับแล้ว
INT-0120,TH00120,พิไล บุญพูลทรัพย์,มุนตา บุญพูลทรัพย์,10.04,ด่วนพิเศษ (Express),167.4,372.5,รับแล้ว,ส่งสำเร็จ
INT-0121,TH00121,มุนตา บุญพูลทรัพย์,พิไล อัศวรุ่งเรืองกิจ,11.47,ธรรมดา,191.4,427.8,รับแล้ว,ส่งสำเร็จ
INT-0122,TH00122,มุนินทร์ จงสวัสดิ์,พิไล อัศวรุ่งเรืองกิจ,6.85,ธรรมดา,212.5,407.25,รับแล้ว,รับแล้ว
INT-0123,TH00123,ทองดี ตากลี,ทองดี จงสวัสดิ์,8.49,ธรรมดา,170.2,367.2,รับแล้ว,กำลังส่ง
INT-0124,TH00124,มุนตา ตากลี,เรยา ตากลี,7.73,แช่เย็น (Cold Chain),217.8,446.0,รับแล้ว,กำลังส่ง
INT-0125,TH00125,มุนินทร์ บุญพูลทรัพย์,พิไล วงศ์เสวต,4.03,ด่วนพิเศษ (Express),169.9,321.15,รับแล้ว,กำลังส่ง
INT-0126,TH00126,มุนินทร์ อัศวรุ่งเรืองกิจ,ทองดี อัศวรุ่งเรืองกิจ,4.51,ด่วนพิเศษ (Express),239.1,433.75,รับแล้ว,รับแล้ว
INT-0127,TH00127,เรยา จงสวัสดิ์,เรยา บุญพูลทรัพย์,11.03,แช่เย็น (Cold Chain),252.9,530.65,รับแล้ว,ส่งสำเร็จ
INT-0128,TH00128,เรยา อัศวรุ่งเรืองกิจ,พิไล จงสวัสดิ์,7.52,แช่เย็น (Cold Chain),106.4,266.8,รับแล้ว,ส่งสำเร็จ
INT-0129,TH00129,มุนตา ตากลี,เรยา ตากลี,8.79,ด่วนพิเศษ (Express),77.7,225.45,รับแล้ว,ส่งสำเร็จ
INT-0130,TH00130,เรยา วงศ์เสวต,พิไล บุญพูลทรัพย์,14.83,แช่เย็น (Cold Chain),239.8,532.0,รับแล้ว,รับแล้ว
INT-0131,TH00131,เรยา วงศ์เสวต,มุนินทร์ ตากลี,14.5,ธรรมดา,106.3,351.45,รับแล้ว,ส่งสำเร็จ
INT-0132,TH00132,ทองดี ตากลี,มุนตา อัศวรุ่งเรืองกิจ,0.72,แช่เย็น (Cold Chain),51.8,108.9,รับแล้ว,ส่งสำเร็จ
INT-0133,TH00133,มุนตา บุญพูลทรัพย์,เรยา อัศวรุ่งเรืองกิจ,9.54,ธรรมดา,125.3,330.35,รับแล้ว,กำลังส่ง
INT-0134,TH00134,มุนินทร์ วงศ์เสวต,มุนินทร์ วงศ์เสวต,9.59,ด่วนพิเศษ (Express),267.4,544.0,รับแล้ว,ส่งสำเร็จ
INT-0135,TH00135,ทองดี ตากลี,ทองดี วงศ์เสวต,3.9,ด่วนพิเศษ (Express),208.5,378.75,รับแล้ว,กำลังส่ง
INT-0136,TH00136,มุนตา วงศ์เสวต,มุนตา อัศวรุ่งเรืองกิจ,6.93,ธรรมดา,211.3,407.25,รับแล้ว,รับแล้ว
INT-0137,TH00137,มุนินทร์ จงสวัสดิ์,พิไล จงสวัสดิ์,5.94,แช่เย็น (Cold Chain),52.2,170.7,รับแล้ว,กำลังส่ง
INT-0138,TH00138,พิไล ตากลี,มุนินทร์ จงสวัสดิ์,1.65,แช่เย็น (Cold Chain),262.5,451.25,รับแล้ว,ส่งสำเร็จ
INT-0139,TH00139,ทองดี ตากลี,มุนตา บุญพูลทรัพย์,3.87,ด่วนพิเศษ (Express),195.0,359.2,รับแล้ว,ส่งสำเร็จ
INT-0140,TH00140,มุนตา ตากลี,มุนตา ตากลี,2.79,ด่วนพิเศษ (Express),138.1,273.05,รับแล้ว,กำลังส่ง
INT-0141,TH00141,เรยา วงศ์เสวต,พิไล ตากลี,12.76,ด่วนพิเศษ (Express),67.8,276.3,รับแล้ว,ส่งสำเร็จ
INT-0142,TH00142,ทองดี ตากลี,มุนตา วงศ์เสวต,8.79,แช่เย็น (Cold Chain),176.7,381.95,รับแล้ว,กำลังส่ง
INT-0143,TH00143,มุนินทร์ ตากลี,มุนตา จงสวัสดิ์,8.71,แช่เย็น (Cold Chain),208.9,421.45,รับแล้ว,ส่งสำเร็จ
INT-0144,TH00144,มุนินทร์ อัศวรุ่งเรืองกิจ,พิไล วงศ์เสวต,9.3,แช่เย็น (Cold Chain),112.2,287.3,รับแล้ว,กำลังส่ง
INT-0145,TH00145,เรยา วงศ์เสวต,มุนินทร์ อัศวรุ่งเรืองกิจ,13.6,ด่วนพิเศษ (Express),197.4,477.1,รับแล้ว,กำลังส่ง
INT-0146,TH00146,เรยา จงสวัสดิ์,พิไล จงสวัสดิ์,11.12,ด่วนพิเศษ (Express),36.1,195.35,รับแล้ว,รับแล้ว
INT-0147,TH00147,มุนินทร์ อัศวรุ่งเรืองกิจ,พิไล อัศวรุ่งเรืองกิจ,11.9,ด่วนพิเศษ (Express),264.2,551.3,รับแล้ว,กำลังส่ง
INT-0148,TH00148,มุนตา วงศ์เสวต,เรยา วงศ์เสวต,13.75,ด่วนพิเศษ (Express),283.8,606.2,รับแล้ว,กำลังส่ง
INT-0149,TH00149,เรยา บุญพูลทรัพย์,มุนตา วงศ์เสวต,2.54,แช่เย็น (Cold Chain),290.3,503.85,รับแล้ว,รับแล้ว
INT-0150,TH00150,เรยา อัศวรุ่งเรืองกิจ,มุนตา บุญพูลทรัพย์,11.96,แช่เย็น (Cold Chain),14.0,163.6,รับแล้ว,ส่งสำเร็จ
INT-0151,TH00151,พิไล ตากลี,ทองดี บุญพูลทรัพย์,6.02,ด่วนพิเศษ (Express),195.2,376.0,รับแล้ว,กำลังส่ง
INT-0152,TH00152,ทองดี ตากลี,มุนตา ตากลี,13.32,แช่เย็น (Cold Chain),172.8,419.4,รับแล้ว,รับแล้ว
INT-0153,TH00153,เรยา วงศ์เสวต,ทองดี จงสวัสดิ์,2.19,ธรรมดา,23.2,85.7,รับแล้ว,รับแล้ว
INT-0154,TH00154,มุนินทร์ ตากลี,มุนินทร์ จงสวัสดิ์,13.37,ด่วนพิเศษ (Express),49.3,238.65,รับแล้ว,กำลังส่ง
INT-0155,TH00155,เรยา อัศวรุ่งเรืองกิจ,ทองดี อัศวรุ่งเรืองกิจ,13.34,ด่วนพิเศษ (Express),199.9,472.25,รับแล้ว,ส่งสำเร็จ
INT-0156,TH00156,มุนตา วงศ์เสวต,มุนตา บุญพูลทรัพย์,3.65,ธรรมดา,139.0,292.0,รับแล้ว,รับแล้ว
INT-0157,TH00157,มุนตา จงสวัสดิ์,ทองดี ตากลี,13.57,ธรรมดา,197.0,463.2,รับแล้ว,กำลังส่ง
INT-0158,TH00158,ทองดี วงศ์เสวต,มุนตา จงสวัสดิ์,1.83,แช่เย็น (Cold Chain),71.5,164.55,รับแล้ว,รับแล้ว
INT-0159,TH00159,มุนินทร์ จงสวัสดิ์,มุนินทร์ จงสวัสดิ์,14.84,ธรรมดา,238.2,527.7,รับแล้ว,ส่งสำเร็จ
INT-0160,TH00160,มุนินทร์ วงศ์เสวต,มุนตา จงสวัสดิ์,12.29,ธรรมดา,77.6,284.3,รับแล้ว,กำลังส่ง
