intake_id,parcel_id,sender_name,recipient_name,weight_kg,service_type,distance_km,status,shipping_fee
INT-0082,TH00082,เรยา ตาคลี,เรยา ตาคลี,9.72,ด่วนพิเศษ (Express),177.1,รับแล้ว,132.76
INT-0083,TH00083,เรณู จงสวัสดิ์,ทองดี จงสวัสดิ์,12.22,แช่เย็น (Cold Chain),193.9,รับแล้ว,152.76
INT-0084,TH00084,เรณู ตาคลี,มุตตา จงสวัสดิ์,12.55,ธรรมดา,70.5,รับแล้ว,135.4
INT-0085,TH00085,เรณู จงสวัสดิ์,พิไล อัศวรุ่งเรืองกิจ,6.0,ธรรมดา,124.1,รับแล้ว,83.0
INT-0086,TH00086,มุตตา จงสวัสดิ์,มุนินทร์ จงสวัสดิ์,5.43,แช่เย็น (Cold Chain),175.6,รับแล้ว,98.44
INT-0087,TH00087,มุตตา อัศวรุ่งเรืองกิจ,พิไล จงสวัสดิ์,4.0,ด่วนพิเศษ (Express),122.7,รับแล้ว,70.0
INT-0088,TH00088,มุนินทร์ บุญพูลทรัพย์ ,ทองดี บุญพูลทรัพย์ ,7.0,ธรรมดา,24.2,รับแล้ว,76.0
INT-0089,TH00089,มุนินทร์ ตาคลี,มุตตา บุญพูลทรัพย์ ,5.85,แช่เย็น (Cold Chain),133.2,รับแล้ว,81.8
INT-0090,TH00090,เรณู บุญพูลทรัพย์ ,มุตตา จงสวัสดิ์,4.43,ด่วนพิเศษ (Express),58.4,รับแล้ว,72.15
INT-0091,TH00091,ทองดี จงสวัสดิ์,เรยา บุญพูลทรัพย์ ,14.29,แช่เย็น (Cold Chain),47.1,รับแล้ว,134.32
INT-0092,TH00092,มุนินทร์ บุญพูลทรัพย์ ,มุตตา บุญพูลทรัพย์ ,14.66,แช่เย็น (Cold Chain),149.6,รับแล้ว,152.28
INT-0093,TH00093,เรยา จงสวัสดิ์,มุนินทร์ จงสวัสดิ์,4.88,แช่เย็น (Cold Chain),134.0,รับแล้ว,74.4
INT-0094,TH00094,มุตตา วงศ์เสวต,พิไล จงสวัสดิ์,9.75,ด่วนพิเศษ (Express),26.5,รับแล้ว,98.0
INT-0095,TH00095,เรยา อัศวรุ่งเรืองกิจ,เรณู ตาคลี,5.44,ธรรมดา,63.9,รับแล้ว,78.52
INT-0096,TH00096,เรณู วงศ์เสวต,เรณู ตาคลี,8.87,แช่เย็น (Cold Chain),14.3,รับแล้ว,80.96
INT-0097,TH00097,มุนินทร์ อัศวรุ่งเรืองกิจ,เรยา จงสวัสดิ์,8.59,ด่วนพิเศษ (Express),152.0,รับแล้ว,123.72
INT-0098,TH00098,พิไล จงสวัสดิ์,เรณู ตาคลี,4.81,แช่เย็น (Cold Chain),247.5,รับแล้ว,94.05
INT-0099,TH00099,มุตตา อัศวรุ่งเรืองกิจ,เรยา อัศวรุ่งเรืองกิจ,14.24,ธรรมดา,156.8,รับแล้ว,168.92
INT-0100,TH00100,มุตตา บุญพูลทรัพย์ ,มุนินทร์ จงสวัสดิ์,8.5,ธรรมดา,1.7,รับแล้ว,78.0
INT-0101,TH00101,เรณู บุญพูลทรัพย์ ,เรณู จงสวัสดิ์,3.86,แช่เย็น (Cold Chain),71.4,รับแล้ว,69.3
INT-0102,TH00102,เรณู วงศ์เสวต,มุตตา บุญพูลทรัพย์ ,10.09,ธรรมดา,106.9,รับแล้ว,115.72
INT-0103,TH00103,พิไล จงสวัสดิ์,มุนินทร์ จงสวัสดิ์,1.54,ธรรมดา,198.4,รับแล้ว,77.7
INT-0104,TH00104,พิไล บุญพูลทรัพย์ ,มุตตา ตาคลี,7.3,ด่วนพิเศษ (Express),175.2,รับแล้ว,113.4
INT-0105,TH00105,มุตตา อัศวรุ่งเรืองกิจ,เรณู ตาคลี,9.17,ด่วนพิเศษ (Express),183.9,รับแล้ว,128.36
INT-0106,TH00106,พิไล จงสวัสดิ์,เรยา จงสวัสดิ์,9.01,ธรรมดา,249.9,รับแล้ว,127.08
INT-0107,TH00107,ทองดี จงสวัสดิ์,เรยา จงสวัสดิ์,8.02,ด่วนพิเศษ (Express),229.1,รับแล้ว,119.16
INT-0108,TH00108,มุนินทร์ อัศวรุ่งเรืองกิจ,ทองดี ตาคลี,7.32,ด่วนพิเศษ (Express),84.0,รับแล้ว,93.56
INT-0109,TH00109,ทองดี วงศ์เสวต,มุตตา ตาคลี,4.68,ด่วนพิเศษ (Express),203.6,รับแล้ว,93.4
INT-0110,TH00110,พิไล วงศ์เสวต,เรยา จงสวัสดิ์,5.19,ด่วนพิเศษ (Express),216.4,รับแล้ว,96.52
INT-0111,TH00111,เรยา บุญพูลทรัพย์ ,เรณู ตาคลี,3.22,ด่วนพิเศษ (Express),156.0,รับแล้ว,86.1
INT-0112,TH00112,เรณู บุญพูลทรัพย์ ,เรยา จงสวัสดิ์,8.46,ด่วนพิเศษ (Express),110.1,รับแล้ว,102.68
INT-0113,TH00113,ทองดี ตาคลี,เรยา บุญพูลทรัพย์ ,12.09,แช่เย็น (Cold Chain),40.4,รับแล้ว,116.72
INT-0114,TH00114,พิไล วงศ์เสวต,เรณู วงศ์เสวต,14.89,ธรรมดา,115.9,รับแล้ว,154.12
INT-0115,TH00115,เรยา บุญพูลทรัพย์ ,เรณู บุญพูลทรัพย์ ,7.88,ด่วนพิเศษ (Express),104.5,รับแล้ว,98.04
INT-0116,TH00116,เรณู ตาคลี,เรณู อัศวรุ่งเรืองกิจ,6.06,แช่เย็น (Cold Chain),127.6,รับแล้ว,83.48
INT-0117,TH00117,มุนินทร์ วงศ์เสวต,เรณู จงสวัสดิ์,4.37,ธรรมดา,71.4,รับแล้ว,71.85
INT-0118,TH00118,มุตตา อัศวรุ่งเรืองกิจ,ทองดี ตาคลี,6.97,ด่วนพิเศษ (Express),86.9,รับแล้ว,90.76
INT-0119,TH00119,พิไล อัศวรุ่งเรืองกิจ,เรณู จงสวัสดิ์,14.72,ธรรมดา,143.4,รับแล้ว,152.76
INT-0120,TH00120,มุนินทร์ ตาคลี,มุตตา บุญพูลทรัพย์ ,10.73,ด่วนพิเศษ (Express),97.1,รับแล้ว,120.84
INT-0121,TH00121,ทองดี บุญพูลทรัพย์ ,เรณู วงศ์เสวต,7.78,แช่เย็น (Cold Chain),83.7,รับแล้ว,97.24
INT-0122,TH00122,เรยา ตาคลี,พิไล ตาคลี,10.98,ด่วนพิเศษ (Express),217.9,รับแล้ว,142.84
INT-0123,TH00123,มุนินทร์ วงศ์เสวต,มุตตา จงสวัสดิ์,10.54,แช่เย็น (Cold Chain),21.0,รับแล้ว,104.32
INT-0124,TH00124,มุตตา บุญพูลทรัพย์ ,เรณู จงสวัสดิ์,10.92,ด่วนพิเศษ (Express),218.2,รับแล้ว,142.36
INT-0125,TH00125,เรยา อัศวรุ่งเรืองกิจ,มุนินทร์ บุญพูลทรัพย์ ,14.96,แช่เย็น (Cold Chain),23.5,รับแล้ว,139.68
INT-0126,TH00126,เรยา บุญพูลทรัพย์ ,เรณู จงสวัสดิ์,13.6,ธรรมดา,81.8,รับแล้ว,143.8
INT-0127,TH00127,เรยา จงสวัสดิ์,มุตตา ตาคลี,4.04,ด่วนพิเศษ (Express),141.9,รับแล้ว,70.2
INT-0128,TH00128,มุนินทร์ จงสวัสดิ์,เรยา อัศวรุ่งเรืองกิจ,9.49,ธรรมดา,124.9,รับแล้ว,110.92
INT-0129,TH00129,พิไล จงสวัสดิ์,เรณู บุญพูลทรัพย์ ,7.16,แช่เย็น (Cold Chain),3.3,รับแล้ว,67.28
INT-0130,TH00130,เรณู จงสวัสดิ์,มุนินทร์ วงศ์เสวต,14.21,แช่เย็น (Cold Chain),75.5,รับแล้ว,148.68
INT-0131,TH00131,เรณู บุญพูลทรัพย์ ,เรณู จงสวัสดิ์,14.99,ด่วนพิเศษ (Express),27.6,รับแล้ว,139.92
INT-0132,TH00132,เรณู อัศวรุ่งเรืองกิจ,พิไล จงสวัสดิ์,0.82,แช่เย็น (Cold Chain),99.6,รับแล้ว,55.0
INT-0133,TH00133,เรยา อัศวรุ่งเรืองกิจ,พิไล บุญพูลทรัพย์ ,12.58,ด่วนพิเศษ (Express),194.2,รับแล้ว,155.64
INT-0134,TH00134,มุนินทร์ อัศวรุ่งเรืองกิจ,มุนินทร์ บุญพูลทรัพย์ ,9.5,แช่เย็น (Cold Chain),189.1,รับแล้ว,131.0
INT-0135,TH00135,ทองดี บุญพูลทรัพย์ ,ทองดี วงศ์เสวต,9.87,ด่วนพิเศษ (Express),197.4,รับแล้ว,133.96
INT-0136,TH00136,เรยา อัศวรุ่งเรืองกิจ,ทองดี จงสวัสดิ์,13.69,ด่วนพิเศษ (Express),187.1,รับแล้ว,164.52
INT-0137,TH00137,มุนินทร์ จงสวัสดิ์,พิไล จงสวัสดิ์,7.78,ด่วนพิเศษ (Express),207.8,รับแล้ว,117.24
INT-0138,TH00138,มุตตา ตาคลี,ทองดี จงสวัสดิ์,7.29,ธรรมดา,36.0,รับแล้ว,78.32
INT-0139,TH00139,มุนินทร์ บุญพูลทรัพย์ ,พิไล จงสวัสดิ์,11.96,ธรรมดา,66.9,รับแล้ว,130.68
INT-0140,TH00140,เรยา ตาคลี,ทองดี บุญพูลทรัพย์ ,8.98,แช่เย็น (Cold Chain),235.1,รับแล้ว,126.84
INT-0141,TH00141,เรยา บุญพูลทรัพย์ ,เรณู วงศ์เสวต,13.32,แช่เย็น (Cold Chain),82.7,รับแล้ว,141.56
INT-0142,TH00142,พิไล จงสวัสดิ์,เรยา บุญพูลทรัพย์ ,13.69,ด่วนพิเศษ (Express),162.7,รับแล้ว,164.52
INT-0143,TH00143,เรยา จงสวัสดิ์,เรยา จงสวัสดิ์,2.18,ธรรมดา,221.9,รับแล้ว,80.9
INT-0144,TH00144,มุนินทร์ ตาคลี,มุตตา บุญพูลทรัพย์ ,6.58,แช่เย็น (Cold Chain),181.9,รับแล้ว,107.64
INT-0145,TH00145,เรณู บุญพูลทรัพย์ ,เรณู อัศวรุ่งเรืองกิจ,14.12,ด่วนพิเศษ (Express),9.1,รับแล้ว,122.96
INT-0146,TH00146,มุตตา จงสวัสดิ์,เรณู จงสวัสดิ์,1.94,แช่เย็น (Cold Chain),92.5,รับแล้ว,59.7
INT-0147,TH00147,ทองดี จงสวัสดิ์,เรณู จงสวัสดิ์,14.54,ด่วนพิเศษ (Express),23.8,รับแล้ว,136.32
INT-0148,TH00148,มุนินทร์ บุญพูลทรัพย์ ,พิไล วงศ์เสวต,11.91,ธรรมดา,247.2,รับแล้ว,150.28
INT-0149,TH00149,พิไล จงสวัสดิ์,พิไล จงสวัสดิ์,3.63,ธรรมดา,82.8,รับแล้ว,68.15
INT-0150,TH00150,มุนินทร์ อัศวรุ่งเรืองกิจ,มุตตา จงสวัสดิ์,8.33,ธรรมดา,28.4,รับแล้ว,86.64
INT-0151,TH00151,เรยา จงสวัสดิ์,มุตตา จงสวัสดิ์,5.19,ธรรมดา,67.1,รับแล้ว,76.52
INT-0152,TH00152,มุนินทร์ บุญพูลทรัพย์ ,พิไล วงศ์เสวต,7.41,ด่วนพิเศษ (Express),128.8,รับแล้ว,94.28
INT-0153,TH00153,เรยา ตาคลี,มุนินทร์ อัศวรุ่งเรืองกิจ,11.05,แช่เย็น (Cold Chain),130.8,รับแล้ว,123.4
INT-0154,TH00154,เรณู บุญพูลทรัพย์ ,เรยา ตาคลี,6.68,ธรรมดา,123.1,รับแล้ว,88.44
INT-0155,TH00155,เรณู วงศ์เสวต,มุตตา อัศวรุ่งเรืองกิจ,1.45,ด่วนพิเศษ (Express),156.5,รับแล้ว,77.25
INT-0156,TH00156,พิไล อัศวรุ่งเรืองกิจ,เรณู อัศวรุ่งเรืองกิจ,4.78,แช่เย็น (Cold Chain),151.8,รับแล้ว,93.9
INT-0157,TH00157,เรยา บุญพูลทรัพย์ ,ทองดี บุญพูลทรัพย์ ,10.95,ธรรมดา,108.1,รับแล้ว,122.6
INT-0158,TH00158,มุนินทร์ ตาคลี,เรณู ตาคลี,11.08,ด่วนพิเศษ (Express),107.3,รับแล้ว,123.64
INT-0159,TH00159,ทองดี จงสวัสดิ์,มุนินทร์ บุญพูลทรัพย์ ,1.47,ธรรมดา,24.2,รับแล้ว,42.35
INT-0160,TH00160,เรยา บุญพูลทรัพย์ ,มุนินทร์ อัศวรุ่งเรืองกิจ,9.0,แช่เย็น (Cold Chain),140.9,รับแล้ว,107.0
INT-0161,TH00161,ทองดี วงศ์เสวต,มุตตา บุญพูลทรัพย์ ,13.09,แช่เย็น (Cold Chain),13.8,รับแล้ว,114.72
INT-0162,TH00162,มุตตา อัศวรุ่งเรืองกิจ,มุตตา วงศ์เสวต,7.86,ธรรมดา,164.5,รับแล้ว,117.88
INT-0163,TH00163,มุนินทร์ วงศ์เสวต,พิไล จงสวัสดิ์,11.56,แช่เย็น (Cold Chain),57.3,รับแล้ว,127.48
INT-0164,TH00164,เรณู อัศวรุ่งเรืองกิจ,พิไล บุญพูลทรัพย์ ,8.57,แช่เย็น (Cold Chain),232.3,รับแล้ว,123.56
INT-0165,TH00165,ทองดี จงสวัสดิ์,มุนินทร์ จงสวัสดิ์,13.86,ด่วนพิเศษ (Express),2.5,รับแล้ว,120.88
INT-0166,TH00166,มุนินทร์ อัศวรุ่งเรืองกิจ,เรณู วงศ์เสวต,11.24,ธรรมดา,23.8,รับแล้ว,109.92
INT-0167,TH00167,พิไล จงสวัสดิ์,เรณู ตาคลี,2.78,ด่วนพิเศษ (Express),180.7,รับแล้ว,83.9
INT-0168,TH00168,พิไล อัศวรุ่งเรืองกิจ,เรยา จงสวัสดิ์,11.44,ธรรมดา,168.8,รับแล้ว,146.52
INT-0169,TH00169,มุตตา ตาคลี,เรณู ตาคลี,6.91,ด่วนพิเศษ (Express),54.7,รับแล้ว,90.28
INT-0170,TH00170,พิไล วงศ์เสวต,เรณู วงศ์เสวต,10.33,แช่เย็น (Cold Chain),122.2,รับแล้ว,117.64
INT-0171,TH00171,ทองดี จงสวัสดิ์,มุนินทร์ ตาคลี,1.29,ธรรมดา,76.1,รับแล้ว,56.45
INT-0172,TH00172,มุนินทร์ จงสวัสดิ์,มุตตา จงสวัสดิ์,0.61,แช่เย็น (Cold Chain),108.2,รับแล้ว,55.0
INT-0173,TH00173,มุนินทร์ ตาคลี,ทองดี จงสวัสดิ์,8.6,แช่เย็น (Cold Chain),201.7,รับแล้ว,123.8
INT-0174,TH00174,เรยา ตาคลี,เรณู วงศ์เสวต,13.86,ด่วนพิเศษ (Express),144.4,รับแล้ว,145.88
INT-0175,TH00175,พิไล ตาคลี,เรณู จงสวัสดิ์,6.37,ด่วนพิเศษ (Express),43.8,รับแล้ว,70.96
INT-0176,TH00176,พิไล ตาคลี,เรยา ตาคลี,4.03,แช่เย็น (Cold Chain),100.7,รับแล้ว,70.15
INT-0177,TH00177,เรยา ตาคลี,ทองดี จงสวัสดิ์,5.33,ธรรมดา,20.0,รับแล้ว,62.64
INT-0178,TH00178,ทองดี วงศ์เสวต,พิไล จงสวัสดิ์,5.59,แช่เย็น (Cold Chain),203.9,รับแล้ว,99.72
